idx,text,main_heading,heading,topic,paper_idx,BIO,BIO_1,offset1,pro1,offset2,pro2,offset3,pro3,mask,labels,title
177,leave - one - out cross validation in our experiments since it is impractical to re-train each variant of our deep learning models thousands of times .,Baselines,BiLSTM Attention ( with and without ELMo ) .,Sentence_classification,0,,,6,0.8571428571428571,176,0.6591760299625468,6,0.8571428571428571,1,0,Baselines: BiLSTM Attention ( with and without ELMo ) .
178,"Therefore , we opted for a standard setup of stratified train / validation / test data splits with 85 % data used for training and the rest equally split between validation and test .",Baselines,BiLSTM Attention ( with and without ELMo ) .,Sentence_classification,0,,,7,1.0,177,0.6629213483146067,7,1.0,1,0,Baselines: BiLSTM Attention ( with and without ELMo ) .
181,We observe that our scaffold - enhanced models achieve clear improvements over the state - of - the - art approach on this task .,Results,Results,Sentence_classification,0,"['O', 'B', 'O', 'O', 'B', 'I', 'I', 'I', 'B', 'B', 'I', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O']","['O', 'B-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O']",2,0.0333333333333333,180,0.6741573033707865,2,0.0952380952380952,1,1,Results
182,"Starting with the ' BiLSTM - Attn ' baseline with a macro F1 score of 51.8 , adding the first scaffold task in ' BiLSTM - Attn + section title scaffold ' improves the F1 score to 56.9 (?= 5.1 ) .",Results,Results,Sentence_classification,0,"['B', 'I', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'B', 'B', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'I', 'I', 'O']","['B-p', 'I-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O']",3,0.05,181,0.6779026217228464,3,0.1428571428571428,1,1,Results
183,Adding the second scaffold in ' BiLSTM - Attn + citation worthiness scaffold ' also results in similar improvements : 56.3 (?= 4.5 ) .,Results,Results,Sentence_classification,0,"['B', 'O', 'B', 'I', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O']","['B-p', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O']",4,0.0666666666666666,182,0.6816479400749064,4,0.1904761904761904,1,1,Results
184,"When both scaffolds are used simultaneously in ' BiLSTM - Attn + both scaffolds ' , the F1 score further improves to 63.1 ( ?= 11.3 ) , suggesting that the two tasks provide complementary signal that is useful for citation intent prediction .",Results,Results,Sentence_classification,0,"['O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-n', 'I-n', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'B-n', 'I-n', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",5,0.0833333333333333,183,0.6853932584269663,5,0.238095238095238,1,1,Results
185,"The best result is achieved when we also add ELMo vectors to the input representations in ' BiLSTM - Attn w / ELMo + both scaffolds ' , achieving an F1 of 67.9 , a major improvement from the previous state - of - the - art results of 54.6 ( ?= 13.3 ) .",Results,Results,Sentence_classification,0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'B', 'O', 'B', 'I', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'O', 'B', 'B', 'B', 'O', 'O', 'B', 'I', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'B', 'B', 'I', 'I', 'I', 'I', 'O']",,6,0.1,184,0.6891385767790262,6,0.2857142857142857,1,1,Results
186,"We note that the scaffold tasks provide major contributions on top of the ELMo - enabled baseline ( ?= 13.6 ) , demonstrating the efficacy of using structural scaffolds for citation intent prediction .",Results,Results,Sentence_classification,0,"['O', 'B', 'O', 'O', 'B', 'I', 'B', 'B', 'I', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-p', 'O', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",7,0.1166666666666666,185,0.6928838951310862,7,0.3333333333333333,1,1,Results
188,"We also experimented with adding features used in to our best model and not only we did not see any improvements , but we observed at least 1.7 % decline in performance .",Results,Results,Sentence_classification,0,"['O', 'O', 'B', 'I', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'I', 'I', 'B', 'B', 'O']","['O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O']",9,0.15,187,0.700374531835206,9,0.4285714285714285,1,1,Results
190,"shows the main results on SciCite dataset , where we see similar patterns .",Results,Results,Sentence_classification,0,,,11,0.1833333333333333,189,0.7078651685393258,11,0.5238095238095238,1,0,Results
195,"On this dataset , the best baseline is the neural baseline with addition of ELMo contextual vectors achieving an F 1 score of 82.6 followed by , which is expected because neural models generally achieve higher gains when more training data is available and because was not designed with the SciCite dataset in mind .",Results,Adding both scaffolds results in further improvements .,Sentence_classification,0,,,16,0.2666666666666666,194,0.7265917602996255,16,0.7619047619047619,1,0,Results: Adding both scaffolds results in further improvements .
196,The breakdown of results by intent on ACL - ARC and SciCite datasets is respectively shown in Tables 5 and 6 .,Results,Adding both scaffolds results in further improvements .,Sentence_classification,0,,,17,0.2833333333333333,195,0.7303370786516854,17,0.8095238095238095,1,0,Results: Adding both scaffolds results in further improvements .
197,Generally we observe that results on categories with more number of instances are higher .,Results,Adding both scaffolds results in further improvements .,Sentence_classification,0,"['O', 'O', 'O', 'O', 'B', 'B', 'B', 'B', 'B', 'I', 'I', 'I', 'B', 'B', 'O']","['O', 'O', 'O', 'O', 'B-n', 'B-p', 'B-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O']",18,0.3,196,0.7340823970037453,18,0.8571428571428571,1,1,Results: Adding both scaffolds results in further improvements .
202,"To gain more insight into why the scaffolds are helping the model in improved citation intent classification , we examine the attention weights assigned to inputs for our best proposed model ( ' BiLSTM - Attn w / ELMo + both scaffolds ' ) compared with the best neural baseline ( ' BiLSTM - Attn w / ELMO ' ) .",Results,Analysis,Sentence_classification,0,,,23,0.3833333333333333,201,0.7528089887640449,1,0.0588235294117647,1,0,Results: Analysis
204,shows an example input citation along with the horizontal line and the heatmap of attention weights for this input resulting from our model versus the baseline .,Results,Analysis,Sentence_classification,0,,,25,0.4166666666666667,203,0.7602996254681648,3,0.1764705882352941,1,0,Results: Analysis
206,"We observe that our model puts more weight on words surrounding the word "" future "" which is plausible given the true label .",Results,Analysis,Sentence_classification,0,,,27,0.45,205,0.7677902621722846,5,0.2941176470588235,1,0,Results: Analysis
207,"On the other hand , the baseline model attends most to the words "" compare "" and consequently incorrectly predicts a COMPARE label .",Results,Analysis,Sentence_classification,0,,,28,0.4666666666666667,206,0.7715355805243446,6,0.3529411764705882,1,0,Results: Analysis
209,"The baseline incorrectly classifies it as a BACK - GROUND , likely due to attending to another part of the sentence ( "" analyzed seprately "" ) .",Results,Analysis,Sentence_classification,0,,,30,0.5,208,0.7790262172284644,8,0.4705882352941176,1,0,Results: Analysis
210,Our model correctly classifies this instance by putting more attention weights on words that relate to comparison of the results .,Results,Analysis,Sentence_classification,0,,,31,0.5166666666666667,209,0.7827715355805244,9,0.5294117647058824,1,0,Results: Analysis
211,This suggests that the our model is more successful in learning optimal parameters for representing the citation text and classifying its respective intent compared with the baseline .,Results,Analysis,Sentence_classification,0,,,32,0.5333333333333333,210,0.7865168539325843,10,0.5882352941176471,1,0,Results: Analysis
216,One general error pattern is that the model has more tendency to make false positive errors in the BACKGROUND category likely due to this category dominating both datasets .,Results,Error analysis .,Sentence_classification,0,,,37,0.6166666666666667,215,0.8052434456928839,15,0.8823529411764706,1,0,Results: Error analysis .
217,It 's interesting that for the ACL - ARC dataset some prediction Category ( # instances ),Results,Error analysis .,Sentence_classification,0,,,38,0.6333333333333333,216,0.8089887640449438,16,0.9411764705882352,1,0,Results: Error analysis .
227,A sample of model 's classification errors on ACL - ARC dataset errors are due to the model failing to properly differentiate the USE category with BACKGROUND .,Results,Error analysis .,Sentence_classification,0,,,48,0.8,226,0.846441947565543,2,0.1538461538461538,1,0,Results: Error analysis .
